"Nome Completo";"Nome para Urna Eletronica";"Numero do Candidato";"Situacao";"Sigla do Partido";"Numero do Partido";"Nome da Coligacao";"Composicao da Coligacao";"Cargo";"Sexo";"Data de Nascimento";"Estado Civil";"Ocupacao";"Grau de Instrucao";"Nacionalidade";"Municipio/UF de Nascimento";"Julgamento da Prest. de Contas";"Resultado da Eleicao";"Numero Protocolo";"Numero Processo";"CNPJ de Campanha"
"JOSÉ ALEXANDRE DOS REIS";"ALEXANDRE DESPACHANTE";20888;"APTO (Deferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1960-02-23";"Casado(a)";"Despachante";"Ensino Médio completo";"Brasileira nata";"ABAETÉ / MG";;"Suplente";412792010;"4093-88.2010.6.13.0000";"12.176.208/0001-45"
"JOSÉ ALVARO LEITE";"ALVARO LEITE";22666;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1966-04-26";"Solteiro(a)";"Policial Civil";"Superior completo";"Brasileira nata";"PETROPOLIS / RJ";;"Suplente";411792010;"4003-80.2010.6.13.0000";"12.181.066/0001-04"
"JOSE ALVES RIBEIRO";"ZE PRETO";44610;"APTO (Deferido)";"PRP";44;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1942-07-01";"Casado(a)";"Porteiro de Edifício, Ascensorista, Garagista e Zelador";"Ensino Médio incompleto";"Brasileira nata";"NOVA MODICA / BA";;"Suplente";416502010;"4456-75.2010.6.13.0000";"12.172.880/0001-62"
"JOSE ALVES VIANA";"DOUTOR VIANA";25123;"APTO (Deferido)";"DEM";25;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1949-04-10";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"AGUA BRANCA / AL";;"Eleito";417282010;"4510-41.2010.6.13.0000";"12.172.922/0001-65"
"JOSE AMARAL NETO";"AMARAL NETO";70855;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1964-11-19";"Casado(a)";"Servidor Público Federal";"Superior completo";"Brasileira nata";"UBERABA / MG";;"Suplente";416512010;"4457-60.2010.6.13.0000";"12.177.171/0001-70"
"JOSE ANCHIETA DE MATTOS PEREIRA POGGIALI";"ANCHIETA POGGIALI";70270;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1954-03-13";"Casado(a)";"Biomédico";"Superior completo";"Brasileira nata";"TIMOTEO / MG";;"Suplente";416522010;"4458-45.2010.6.13.0000";"12.175.019/0001-58"
"JOSÉ ANTÔNIO CARDOSO CANÇADO";"ZÉ DO NÔ";22456;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1954-04-16";"Casado(a)";"Produtor Agropecuário";"Superior completo";"Brasileira nata";"BOM DESPACHO / MG";;"Suplente";411802010;"4004-65.2010.6.13.0000";"12.173.267/0001-60"
"JOSÉ ANTONIO DE ALMEIDA";"ZEZINHO";14292;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1956-10-08";"Solteiro(a)";"Empresário";"Ensino Fundamental completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";418692010;"4675-88.2010.6.13.0000";"12.175.145/0001-02"
"JOSE ANTONIO DE SENA";"JOSE SENNA";70555;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1948-11-25";"Divorciado(a)";"Militar Reformado";"Superior completo";"Brasileira nata";"JANAÚBA / MG";;"Suplente";416532010;"4459-30.2010.6.13.0000";"12.172.909/0001-06"
"JOSE ANTONIO GOMES";"JOSE ANTONIO ADVOGADO";65899;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1962-07-01";"Separado(a) judicialmente";"Advogado";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";428522010;"5191-11.2010.6.13.0000";"12.190.995/0001-80"
"JOSE AUGUSTO BERNARDES";"JOSE AUGUSTO BERNARDES - ZULU";50321;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1950-03-11";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental incompleto";"Brasileira nata";"BETIM / MG";;"Não eleito";422522010;"3720-57.2010.6.13.0000";"12.172.486/0001-24"
"JOSE BARRETO THOMAZ";"TOMAZ DA DESENTUPIDORA ROLA B";31100;"APTO (Deferido)";"PHS";31;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1967-10-04";"Casado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"SAO DOMINGOS DO PRATA / MG";;"Suplente";423612010;"4947-82.2010.6.13.0000";"12.179.325/0001-62"
"JOSE BATUÍRA DE ASSIS";"BATUÍRA";22234;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1947-03-19";"Casado(a)";"Engenheiro";"Superior completo";"Brasileira nata";"JATAÍ / GO";;"Suplente";411782010;"4002-95.2010.6.13.0000";"12.169.782/0001-76"
"JOSÉ BONIFÁCIO MOURÃO";"MOURÃO";45123;"APTO (Deferido)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1940-05-14";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"SABINÓPOLIS / MG";;"Eleito";417312010;"4513-93.2010.6.13.0000";"12.198.303/0001-40"
"JOSÉ CARLOS BARBOSA";"JOSÉ CARLOS";28111;"INAPTO (Renúncia)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1962-01-01";"Casado(a)";"Trabalhador de Construção Civil";"Ensino Fundamental incompleto";"Brasileira nata";"AMPARO DA SERRA / MG";;;415462010;"4354-53.2010.6.13.0000";"12.178.923/0001-17"
"JOSÉ CARLOS DA CRUZ";"ZÉ DA FARMÁCIA";17027;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1975-08-07";"Casado(a)";"Gerente";"Ensino Médio completo";"Brasileira nata";"SARDOA / MG";;"Suplente";406992010;"3822-79.2010.6.13.0000";"12.206.604/0001-78"
"JOSÉ CARLOS DA SILVA";"ZÉ QUADOR";23116;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Masculino";"1956-12-09";"Casado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"SANTANA DO DESERTO / MG";;"Suplente";419782010;"4796-19.2010.6.13.0000";"12.177.446/0001-75"
"JOSÉ CARLOS DE SOUZA";"ZÉ CARLOS";28428;"INAPTO (Indeferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1959-09-22";"Separado(a) judicialmente";"Empresário";"Superior completo";"Brasileira nata";"VITÓRIA / ES";;"Registro negado antes da eleição";561212010;"6052-94.2010.6.13.0000";"12.318.980/0001-54"
"JOSÉ CÉLIO DE ALMEIDA";"CÉLIO DE ALMEIDA";43567;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1958-02-18";"Casado(a)";"Outros";"Ensino Médio incompleto";"Brasileira nata";"RIO CASCA / MG";;"Suplente";410612010;"3955-24.2010.6.13.0000";"12.214.283/0001-53"
"JOSE CELIO DE ALVARENGA";"CELINHO DO SINTTROCEL";65112;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1960-07-19";"Casado(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Médio completo";"Brasileira nata";"TIMOTEO / MG";;"Eleito";428532010;"5192-93.2010.6.13.0000";"12.190.493/0001-59"
"JOSE CELIO DE OLIVEIRA FAQUIM";"JOSE CELIO";36770;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1963-08-05";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio completo";"Brasileira nata";"TIMOTEO / MG";;"Suplente";415412010;"4349-31.2010.6.13.0000";"12.178.271/0001-10"
"JOSE CELSO GARCIA";"JOSE CELSO";40250;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1943-12-28";"Casado(a)";"Médico";"Superior completo";"Brasileira nata";"SAO LOURENCO / MG";;"Suplente";418642010;"4670-66.2010.6.13.0000";"12.175.000/0001-01"
"JOSE CESAR DE MEDEIROS";"CESAR MEDEIROS";13690;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1970-02-13";"Solteiro(a)";"Outros";"Superior completo";"Brasileira nata";"RESSAQUINHA / MG";;"Suplente";420582010;"4842-08.2010.6.13.0000";"12.179.777/0001-44"
"JOSE CESAR DE SOUZA VIEIRA";"CESAR VIEIRA";36555;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1957-10-15";"Casado(a)";"Empresário";"Superior completo";"Brasileira nata";"PONTE NOVA / MG";;"Suplente";415422010;"4350-16.2010.6.13.0000";"12.174.234/0001-34"
"JOSE DA COSTA E SILVA";"COSTA E SILVA";33133;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1941-06-28";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio incompleto";"Brasileira nata";"ARACITABA / MG";;"Suplente";406922010;"3815-87.2010.6.13.0000";"12.318.953/0001-81"
"JOSE DA MOTA PARISI";"PARISI";33399;"INAPTO (Indeferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1955-03-29";"Divorciado(a)";"Administrador";"Superior completo";"Brasileira nata";"TEOFIILO OTONI / MG";;;406932010;"3816-72.2010.6.13.0000";"12.172.735/0001-81"
"JOSÉ DE ARAUJO GUEDES";"GUEDES MISTER M";27000;"APTO (Deferido)";"PSDC";27;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1964-03-19";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"ESMERALDAS / MG";;"Suplente";407002010;"3823-64.2010.6.13.0000";"12.178.139/0001-09"
"JOSE DE FREITAS MAIA";"ZÉ MAIA";45205;"APTO (Deferido)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1963-06-08";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"ITURAMA / MG";;"Eleito";417292010;"4511-26.2010.6.13.0000";"12.177.113/0001-46"
"JOSE DE SOUZA FELIX";"FERNANDO JOSE";13888;"APTO (Indeferido com recurso)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1967-05-20";"Solteiro(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"SANTA MARIA DO SUAÇUÍ / MG";;"Indeferido com Recurso";420592010;"4843-90.2010.6.13.0000";"12.170.078/0001-33"
"JOSÉ DIAS DE VASCONCELOS";"DIAS";17460;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1960-04-26";"Solteiro(a)";"Professor de Ensino Médio";"Superior completo";"Brasileira nata";"SÃO SEBASTIÃO DO OCULO / MG";;"Suplente";407012010;"3824-49.2010.6.13.0000";"12.176.141/0001-49"
"JOSÉ DOS SANTOS FERREIRA";"ZÉ PRETINHO";12335;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1935-03-15";"Casado(a)";"Outros";"Ensino Fundamental completo";"Brasileira nata";"ITAMBÉ DO MATO DENTRO / MG";;"Suplente";429362010;"5264-80.2010.6.13.0000";"12.189.945/0001-82"
"JOSE ELIAS DE NOGUEIRA";"JOSE ELIAS";14680;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1939-10-20";"Casado(a)";"Taxista";"Ensino Médio incompleto";"Brasileira nata";"MANTENA / MG";;"Suplente";418652010;"4671-51.2010.6.13.0000";"12.170.123/0001-50"
"JOSE ELIAS MURAD";"PROFESSOR ELIAS MURAD";45100;"INAPTO (Renúncia)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1924-10-31";"Viúvo(a)";"Vereador";"Superior completo";"Brasileira nata";"LAVRAS / MG";;;424302010;"5370-42.2010.6.13.0000";"12.167.183/0001-13"
"JOSÉ EMÍDIO PEREIRA";"CABO EMÍDIO";28190;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1965-10-15";"Casado(a)";"Policial Militar";"Ensino Médio completo";"Brasileira nata";"GOIANESIA / GO";;"Suplente";415472010;"4355-38.2010.6.13.0000";"12.178.498/0001-66"
"JOSE EUSTAQUIO DA SILVA";"JOSÉ EUSTÁQUIO";28328;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1949-09-02";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio completo";"Brasileira nata";"SANTA MARIA DE ITABIRA / MG";;"Suplente";415432010;"4351-98.2010.6.13.0000";"12.173.117/0001-56"
"JOSE EVARISTO SANTORO FILHO";"EVARISTO COBRINHA";65333;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1959-07-17";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"RECREIO / MG";;"Suplente";428542010;"5193-78.2010.6.13.0000";"12.190.342/0001-09"
"JOSÉ FIRMINO DO CARMO";"ZINHO";12400;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1945-10-11";"Casado(a)";"Outros";"Ensino Fundamental incompleto";"Brasileira nata";"BALDIM / MG";;"Suplente";429372010;"5265-65.2010.6.13.0000";"12.190.090/0001-00"
"JOSÉ FRANCISCO MARQUES RIBEIRO";"CHICO MARQUES";17700;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1952-08-21";"Casado(a)";"Engenheiro";"Superior completo";"Brasileira nata";"ITAJUBÁ / MG";;"Suplente";407022010;"3825-34.2010.6.13.0000";"12.172.498/0001-59"
"JOSÉ FRANCISCO MARTINS";"FRANCISCO MARTINS";12200;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1971-05-31";"Casado(a)";"Empresário";"Superior completo";"Brasileira nata";"BAMBUÍ / MG";;"Suplente";429382010;"5266-50.2010.6.13.0000";"12.191.100/0001-21"
"JOSE GERALDO BESSA AMORIM";"GERALDO BESSA O AÇOUGUEIRO";20220;"APTO (Deferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1955-09-17";"Casado(a)";"Outros";"Ensino Fundamental completo";"Brasileira nata";"FREI GASPAR / MG";;"Suplente";412782010;"4092-06.2010.6.13.0000";"12.173.135/0001-38"
"JOSE GERALDO GROPPI";"ZE SORVETEIRO";17350;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1954-07-01";"Casado(a)";"Catador de Recicláveis";"Ensino Fundamental incompleto";"Brasileira nata";"OLIVEIRA / MG";;"Suplente";406942010;"3817-57.2010.6.13.0000";"12.173.438/0001-50"
"JOSE HELENO VILELA";"HELENO VILELA";40120;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1979-10-15";"Solteiro(a)";"Outros";"Superior completo";"Brasileira nata";"ITAUNA / MG";;"Suplente";418662010;"4672-36.2010.6.13.0000";"12.169.248/0001-60"
"JOSE HENRIQUE DE SOUSA";"CIGANO";36400;"INAPTO (Renúncia)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1964-07-08";"Casado(a)";"Artesão";"Ensino Médio completo";"Brasileira nata";"RAUL SOARES / MG";;;415442010;"4352-83.2010.6.13.0000";"12.178.491/0001-44"
"JOSÉ HENRIQUE LISBOA ROSA";"ZÉ HENRIQUE";15196;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1956-11-29";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"ABRE CAMPO / MG";;"Eleito";424092010;"4991-04.2010.6.13.0000";"12.190.277/0001-03"
"JOSÉ HERMATY DA VEIGA";"CANECÃO";22640;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1942-11-08";"Casado(a)";"Despachante";"Ensino Fundamental incompleto";"Brasileira nata";"SANTANA DE CATAGUASES / MG";;"Suplente";411812010;"4005-50.2010.6.13.0000";"12.204.511/0001-04"
"JOSE JAIR CONDE";"JAIR CONDE";31678;"APTO (Deferido)";"PHS";31;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1969-07-03";"Casado(a)";"Técnico em Informática";"Ensino Médio completo";"Brasileira nata";"CONTAGEM / MG";;"Suplente";423622010;"4948-67.2010.6.13.0000";"12.180.275/0001-33"
"JOSE JARBAS PIMENTA";"JARBAS PIMENTA";50999;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1956-05-27";"Casado(a)";"Servidor Público Federal";"Superior completo";"Brasileira nata";"SAO JOAO DA PONTE / MG";;"Não eleito";422532010;"3721-42.2010.6.13.0000";"12.172.493/0001-26"
"JOSÉ JÚLIO SOUZA";"PADRE JOSÉ JÚLIO";13129;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1969-12-20";"Solteiro(a)";"Sacerdote ou Membro de Ordem ou Seita Religiosa";"Superior completo";"Brasileira nata";"ITAPECERICA / MG";;"Suplente";420622010;"4849-97.2010.6.13.0000";"12.167.130/0001-00"
"JOSÉ LAURO VIEIRA";"JOSÉ LAURO ENGENHEIRO";22777;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1945-02-23";"Casado(a)";"Engenheiro";"Superior completo";"Brasileira nata";"MUZAMBINHO / MG";;"Suplente";411822010;"4006-35.2010.6.13.0000";"12.169.858/0001-63"
"JOSÉ LUCILO DA SILVA JÚLIO";"JOSÉ LUCILO - DUDA";13128;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1960-12-08";"Casado(a)";"Eletricista e Assemelhados";"Superior completo";"Brasileira nata";"RIO PARANAÍBA / MG";;"Suplente";420632010;"4851-67.2010.6.13.0000";"12.175.559/0001-31"
"JOSÉ LUIZ ALVES";"ZÉ LUIZ";17070;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1957-08-15";"Casado(a)";"Outros";"Superior incompleto";"Brasileira nata";"UBERABA / MG";;"Suplente";407032010;"3826-19.2010.6.13.0000";"12.190.148/0001-15"
"JOSE LUIZ CARLOS DA SILVA JUNIOR";"LUIZ CARLOS SILVA";70900;"INAPTO (Indeferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1983-05-07";"Solteiro(a)";"Jornalista e Redator";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;;416542010;"4460-15.2010.6.13.0000";
"JOSE LUIZ DA PENHA";"LULA";70400;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1956-02-10";"Separado(a) judicialmente";"Publicitário";"Superior incompleto";"Brasileira nata";"NOVA ERA / MG";;"Suplente";416552010;"4461-97.2010.6.13.0000";"12.172.964/0001-04"
"JOSE LUIZ DE ARAUJO MIRANDA";"JOSE LUIZ";33540;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1964-12-05";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";406952010;"3818-42.2010.6.13.0000";"12.178.377/0001-14"
"JOSE LUIZ RAMOS DA CRUZ";"RAMOS DA MATA";19234;"APTO (Deferido)";"PTN";19;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1954-05-21";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental completo";"Brasileira nata";"ITAMBACURI / MG";;"Suplente";423632010;"4949-52.2010.6.13.0000";"12.173.660/0001-53"
"JOSE MARCILIO DE OLIVEIRA";"JOSE MARCILIO";20629;"APTO (Deferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1943-05-23";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio completo";"Brasileira nata";"CRUCILANDIA / MG";;"Suplente";583542010;"6221-81.2010.6.13.0000";"12.325.677/0001-89"
"JOSE MARCIO DE BARROS";"BARROS";70300;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1956-08-01";"Casado(a)";"Contador";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416562010;"4462-82.2010.6.13.0000";"12.172.665/0001-61"
"JOSÉ MARIA DOS SANTOS";"ZÉ MARIA";13250;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1958-02-09";"Casado(a)";"Servidor Público Estadual";"Superior completo";"Brasileira nata";"BOACAIÚVA / MG";;"Suplente";420642010;"4853-37.2010.6.13.0000";"12.174.252/0001-16"
"JOSÉ MARIA MENDES";"BALA";43115;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1957-05-04";"Casado(a)";"Vereador";"Ensino Médio incompleto";"Brasileira nata";"ITAJUBÁ / MG";;"Suplente";410622010;"3956-09.2010.6.13.0000";"12.174.675/0001-36"
"JOSÉ MARIA PEREIRA";"FORMIGÃO";14413;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1942-10-25";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio completo";"Brasileira nata";"CORINTO / MG";;"Suplente";418702010;"4676-73.2010.6.13.0000";"12.173.644/0001-60"
"JOSE MARTINS DA LUZ";"JOSE MARTINS DA LUZ";20275;"APTO (Indeferido com recurso)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1935-12-24";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental incompleto";"Brasileira nata";"SAO JOSE GOIABAL / MG";;"Indeferido com Recurso";583712010;"6215-74.2010.6.13.0000";"12.332.360/0001-70"
"JOSE MARTINS FILHO";"MARTINS";33319;"INAPTO (Indeferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1965-03-29";"Casado(a)";"Policial Militar";"Superior incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;;406962010;"3819-27.2010.6.13.0000";"12.179.894/0001-08"
"JOSE MAXIMIANO PEREIRA";"MAX PEREIRA";50551;"APTO (Deferido com recurso)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1951-07-02";"Casado(a)";"Agente Administrativo";"Superior completo";"Brasileira nata";"SETE LAGOAS / MG";;"Não eleito";587552010;"6273-77.2010.6.13.0000";"12.204.193/0001-81"
"JOSE MAXIMIANO PEREIRA";"MAX PEREIRA";50551;"INAPTO (Indeferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1951-07-02";"Casado(a)";"Agente Administrativo";"Superior completo";"Brasileira nata";"SETE LAGOAS / MG";;;441112010;"5576-56.2010.6.13.0000";"12.204.193/0001-81"
"JOSÉ MENDES MIRANDA";"JUCA MIRANDA";17401;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1948-07-26";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"MANHUAÇU / MG";;"Suplente";407042010;"3827-04.2010.6.13.0000";"12.171.784/0001-08"
"JOSE NUNES EVANGELISTA";"JOSE NUNES EVANGELISTA";33331;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1967-04-10";"Solteiro(a)";"Outros";"Ensino Médio completo";"Brasileira (naturalizada)";"GOVERNADOR VALADARES / MG";;"Suplente";406972010;"3820-12.2010.6.13.0000";"12.178.790/0001-89"
"JOSE ORLANDO DA SILVA PEREIRA";"DR. JOSE ORLANDO TUTA";22222;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1952-05-11";"Divorciado(a)";"Médico";"Superior completo";"Brasileira nata";"JACUI / MG";;"Suplente";434622010;"4007-20.2010.6.13.0000";"12.175.066/0001-00"
"JOSE OTAVIO COSTA";"OTAVIO COSTA";65015;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1958-11-20";"Casado(a)";"Contador";"Ensino Médio completo";"Brasileira nata";"BARBACENA / MG";;"Suplente";428552010;"5194-63.2010.6.13.0000";"12.190.451/0001-18"
"JOSÉ PATROCINIO MAGALHÃES ALMEIDA";"ZEZÉ DA COPASA";13621;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1961-08-07";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"JANUÁRIA / MG";;"Suplente";420652010;"4855-07.2010.6.13.0000";"12.177.247/0001-67"
"JOSE RAIMUNDO DELGADO";"ZE RAIMUNDO";31456;"APTO (Deferido)";"PHS";31;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1953-11-14";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";423642010;"4950-37.2010.6.13.0000";"12.172.660/0001-39"
"JOSÉ RAIMUNDO SILVA";"DR RAIMUNDO SILVA";23231;"INAPTO (Renúncia)";"PPS";23;0;0;"Deputado Estadual";"Masculino";"1961-02-16";"Casado(a)";"Médico";"Superior completo";"Brasileira nata";"ITAJUBÁ / MG";;;419792010;"4799-71.2010.6.13.0000";"12.177.039/0001-68"
"JOSE RENATO DE CASTRO";"JOSE RENATO BENCAO";70107;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1975-09-11";"Casado(a)";"Vigilante";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416572010;"4463-67.2010.6.13.0000";"12.181.687/0001-98"
"JOSÉ ROBERTO DE OLIVEIRA";"ROBERTO NACIONAL";28300;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1966-10-20";"Casado(a)";"Empresário";"Ensino Fundamental completo";"Brasileira nata";"PATOS DE MINAS / MG";;"Suplente";415482010;"4356-23.2010.6.13.0000";"12.178.159/0001-80"
"JOSE ROBERTO SOUZA";"ZE ROBERTO";33363;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1963-08-29";"Casado(a)";"Técnico Contabilidade, Estatística, Economia Doméstica e Administração";"Ensino Médio completo";"Brasileira nata";"NOVA LIMA / MG";;"Suplente";406982010;"3821-94.2010.6.13.0000";"12.177.047/0001-04"
